Week,Data Science: (Worldwide),Digital Marketing: (Worldwide)
1/5/2014,11,24
1/12/2014,12,24
1/19/2014,11,23
1/26/2014,11,24
2/2/2014,11,25
2/9/2014,11,26
2/16/2014,10,27
2/23/2014,11,25
3/2/2014,11,26
3/9/2014,11,26
3/16/2014,11,26
3/23/2014,11,28
3/30/2014,11,26
4/6/2014,11,26
4/13/2014,10,24
4/20/2014,10,24
4/27/2014,10,28
5/4/2014,12,27
5/11/2014,10,28
5/18/2014,10,27
5/25/2014,10,27
6/1/2014,11,29
6/8/2014,10,26
6/15/2014,10,29
6/22/2014,9,27
6/29/2014,10,25
7/6/2014,11,27
7/13/2014,10,28
7/20/2014,10,29
7/27/2014,11,27
8/3/2014,11,29
8/10/2014,14,27
8/17/2014,15,28
8/24/2014,16,29
8/31/2014,16,31
9/7/2014,16,30
9/14/2014,16,32
9/21/2014,13,31
9/28/2014,15,30
10/5/2014,13,30
10/12/2014,14,32
10/19/2014,14,30
10/26/2014,13,31
11/2/2014,15,34
11/9/2014,14,32
11/16/2014,16,33
11/23/2014,13,28
11/30/2014,15,29
12/7/2014,15,27
12/14/2014,12,28
12/21/2014,10,19
12/28/2014,11,18
1/4/2015,16,32
1/11/2015,16,32
1/18/2015,16,33
1/25/2015,16,33
2/1/2015,16,34
2/8/2015,15,32
2/15/2015,14,33
2/22/2015,15,37
3/1/2015,15,34
3/8/2015,17,36
3/15/2015,16,38
3/22/2015,16,37
3/29/2015,16,33
4/5/2015,15,35
4/12/2015,17,36
4/19/2015,16,38
4/26/2015,16,36
5/3/2015,18,36
5/10/2015,16,36
5/17/2015,16,39
5/24/2015,16,36
5/31/2015,17,36
6/7/2015,17,37
6/14/2015,17,37
6/21/2015,17,36
6/28/2015,15,37
7/5/2015,18,35
7/12/2015,17,36
7/19/2015,17,36
7/26/2015,17,37
8/2/2015,17,36
8/9/2015,18,37
8/16/2015,20,40
8/23/2015,20,37
8/30/2015,22,36
9/6/2015,22,39
9/13/2015,23,38
9/20/2015,22,40
9/27/2015,22,41
10/4/2015,22,42
10/11/2015,21,40
10/18/2015,21,39
10/25/2015,21,43
11/1/2015,21,40
11/8/2015,20,37
11/15/2015,21,41
11/22/2015,17,37
11/29/2015,21,38
12/6/2015,21,37
12/13/2015,19,36
12/20/2015,15,28
12/27/2015,15,27
1/3/2016,21,50
1/10/2016,22,46
1/17/2016,24,47
1/24/2016,24,49
1/31/2016,23,52
2/7/2016,22,51
2/14/2016,22,49
2/21/2016,22,49
2/28/2016,22,50
3/6/2016,23,55
3/13/2016,22,53
3/20/2016,21,46
3/27/2016,22,49
4/3/2016,25,55
4/10/2016,23,54
4/17/2016,21,55
4/24/2016,22,55
5/1/2016,21,55
5/8/2016,26,54
5/15/2016,24,58
5/22/2016,23,55
5/29/2016,23,54
6/5/2016,22,55
6/12/2016,23,54
6/19/2016,24,54
6/26/2016,22,52
7/3/2016,21,49
7/10/2016,22,52
